,MMSI,BaseDateTime,LAT,LON,SOG,COG,Length,Width,wind_speed,wind_direction
3,338352571,2020-03-03 11:45:15,26.42378,-80.06718,0.1,108.5,13.0,4.0,16.394829,160.76924
0,338352571,2020-03-03 11:46:43,26.4238,-80.06715,0.1,307.8,13.0,4.0,16.394829,160.76924
7,338352571,2020-03-03 11:50:13,26.42379,-80.06718,0.1,141.2,13.0,4.0,16.394829,160.76924
1,338352571,2020-03-03 11:53:15,26.42377,-80.06718,0.1,67.3,13.0,4.0,16.394829,160.76924
9,338352571,2020-03-03 11:56:14,26.42378,-80.06722,0.0,190.1,13.0,4.0,16.394829,160.76924
2,338352571,2020-03-03 11:59:12,26.4238,-80.06719,0.1,10.7,13.0,4.0,16.394829,160.76924
199,338352571,2020-03-03 12:02:14,26.42379,-80.06722,0.2,105.6,13.0,4.0,14.003029,162.03076
5,338352571,2020-03-03 12:05:12,26.4238,-80.06719,0.1,77.4,13.0,4.0,14.003029,162.03076
4,338352571,2020-03-03 12:08:12,26.42377,-80.06723,0.1,67.7,13.0,4.0,14.003029,162.03076
15,338352571,2020-03-03 12:11:12,26.42379,-80.06716,0.1,219.9,13.0,4.0,14.003029,162.03076
6,338352571,2020-03-03 12:14:12,26.42379,-80.06721,0.1,266.6,13.0,4.0,14.003029,162.03076
8,338352571,2020-03-03 12:17:15,26.42379,-80.06723,0.1,126.3,13.0,4.0,14.003029,162.03076
10,338352571,2020-03-03 12:20:13,26.42379,-80.06721,0.0,53.4,13.0,4.0,14.003029,162.03076
11,338352571,2020-03-03 12:23:15,26.42379,-80.06723,0.0,42.7,13.0,4.0,14.003029,162.03076
12,338352571,2020-03-03 12:26:13,26.42377,-80.06723,0.1,201.8,13.0,4.0,14.003029,162.03076
20,338352571,2020-03-03 12:28:43,26.42356,-80.06707,2.3,97.7,13.0,4.0,14.003029,162.03076
14,338352571,2020-03-03 12:29:44,26.42374,-80.06611,3.5,84.2,13.0,4.0,14.003029,162.03076
13,338352571,2020-03-03 12:31:13,26.42341,-80.06499,3.1,176.8,13.0,4.0,14.003029,162.03076
200,338352571,2020-03-03 12:32:43,26.42146,-80.06533,5.4,192.2,13.0,4.0,14.003029,162.03076
38,338352571,2020-03-03 12:34:42,26.41826,-80.06644,6.2,199.2,13.0,4.0,14.003029,162.03076
39,338352571,2020-03-03 12:35:43,26.41658,-80.06704,6.2,197.0,13.0,4.0,14.003029,162.03076
41,338352571,2020-03-03 12:38:12,26.41233,-80.06835,6.5,183.7,13.0,4.0,14.003029,162.03076
