h,RelativeError,AbsoluteError
1.0E-7,8.333365306635891E-9,2.265243548293938E-8
1.0E-6,2.2652349971561667E-7,6.157547129959084E-7
1.0E-5,2.26522680719001E-6,6.1575248673229055E-6
1.0E-4,2.2651544646835818E-5,6.157328220002256E-5
0.001,2.264430959554296E-4,6.155361529156522E-4
0.01,0.0022571989883938257,0.006135702993367076
0.1,0.021854693234870954,0.059407215486896536
0.25,0.05105632613121603,0.13878548355036324
0.5,0.09215567930985638,0.2505051084572818
1.0,0.15595509046223952,0.4239298884591922
