h,RelativeError,AbsoluteError
1.0E-7,2.1810067261712773E-13,5.928590951498336E-13
1.0E-6,2.1401639035838002E-14,5.81756864903582E-14
1.0E-5,2.4505693552486265E-15,6.661338147750939E-15
1.0E-4,4.247653549097619E-15,1.1546319456101628E-14
0.001,7.515079356095787E-15,2.042810365310288E-14
0.01,8.264104048092047E-11,2.2464163862423447E-10
0.1,7.667799039261569E-7,2.0843238792700447E-6
0.25,2.6446579957102017E-5,7.188925772227961E-5
0.5,3.442016361215533E-4,9.356370527950908E-4
1.0,0.003659846827343768,0.009948495125712054
