h,RelativeError,AbsoluteError
1.0E-7,4.03569433198169E-13,3.0542235407438056E-13
1.0E-6,2.4938859921369953E-15,1.887379141862766E-15
1.0E-5,2.0537884641128195E-15,1.5543122344752192E-15
1.0E-4,5.427869512298166E-15,4.107825191113079E-15
0.001,1.3202925840725269E-15,9.992007221626409E-16
0.01,3.4726628944627616E-12,2.6281199438926706E-12
0.1,3.473255896541939E-8,2.6285687293459148E-8
0.25,1.3588638993007058E-6,1.0283915897746354E-6
0.5,2.1863924006839027E-5,1.6546672245598693E-5
1.0,3.578345965712149E-4,2.7081011559260126E-4
