F_Lift,F_Drag,Windspeed,Angle,Cl,Cd
5.39,0.44,27.81,0,0.68,0.06
5.39,0.44,27.63,0,0.69,0.06
5.39,0.44,27.69,0,0.68,0.06
5.39,0.44,27.81,0,0.68,0.06
5.38,0.44,27.87,0,0.67,0.06
5.38,0.44,27.9,0,0.67,0.06
5.39,0.43,27.84,0,0.68,0.05
5.39,0.43,27.81,0,0.68,0.05
5.4,0.44,27.81,0,0.68,0.06
5.4,0.43,27.75,0,0.68,0.05
5.4,0.43,27.75,0,0.68,0.05
5.4,0.43,27.87,0,0.68,0.05
5.41,0.43,27.9,0,0.68,0.05
5.41,0.43,27.84,0,0.68,0.05
5.41,0.43,27.78,0,0.68,0.05
5.41,0.43,27.81,0,0.68,0.05
5.41,0.43,27.9,0,0.68,0.05
5.41,0.43,27.9,0,0.68,0.05
5.41,0.43,27.9,0,0.68,0.05
5.41,0.44,27.84,0,0.68,0.06
7.95,0.57,28.16,0,0.985,0.071
7.93,0.56,28.28,0,0.974,0.069
7.9,0.56,28.31,0,0.969,0.069
7.9,0.56,28.13,0,0.981,0.07
7.89,0.56,28.1,0,0.982,0.07
7.89,0.56,28.19,0,0.976,0.069
7.86,0.56,28.31,0,0.964,0.069
7.86,0.56,28.22,0,0.97,0.069
7.86,0.56,28.28,0,0.966,0.069
7.83,0.56,28.31,0,0.96,0.069
7.81,0.56,28.22,0,0.964,0.069
7.81,0.55,28.07,0,0.974,0.069
7.8,0.55,28.13,0,0.969,0.068
7.82,0.55,28.22,0,0.965,0.068
7.84,0.55,28.1,0,0.976,0.068
7.84,0.56,27.98,0,0.984,0.07
7.83,0.56,28.13,0,0.972,0.07
7.86,0.56,28.28,0,0.966,0.069
7.9,0.56,28.22,0,0.975,0.069
7.9,0.56,28.25,0,0.973,0.069
8.3,0.5,28.01,0.1,1.039,0.063
8.33,0.5,28.19,0.1,1.03,0.062
8.33,0.5,28.1,0.1,1.037,0.062
8.34,0.5,28.19,0.1,1.031,0.062
8.34,0.5,28.04,0.1,1.042,0.062
8.34,0.5,28.1,0.1,1.038,0.062
8.35,0.5,28.04,0.1,1.043,0.062
8.35,0.5,27.98,0.1,1.048,0.063
8.32,0.5,28.07,0.1,1.038,0.062
8.32,0.5,28.1,0.1,1.035,0.062
8.34,0.5,28.19,0.1,1.031,0.062
8.35,0.5,28.22,0.1,1.03,0.062
8.35,0.5,27.95,0.1,1.05,0.063
8.39,0.5,27.92,0.1,1.058,0.063
8.39,0.5,28.1,0.1,1.044,0.062
8.39,0.5,28.16,0.1,1.04,0.062
8.39,0.5,27.95,0.1,1.055,0.063
8.34,0.5,28.04,0.1,1.042,0.062
8.29,0.49,28.04,0.1,1.036,0.061
8.29,0.49,27.98,0.1,1.04,0.061
8.74,0.59,28.04,1,1.092,0.074
8.74,0.6,28.07,1,1.09,0.075
8.72,0.6,28.1,1,1.085,0.075
8.72,0.6,27.86,1,1.104,0.076
8.71,0.6,27.95,1,1.096,0.075
8.71,0.6,28.1,1,1.084,0.075
8.68,0.6,28.01,1,1.087,0.075
8.65,0.6,28.07,1,1.079,0.075
8.63,0.6,28.16,1,1.069,0.074
8.63,0.6,28.28,1,1.06,0.074
8.61,0.61,28.04,1,1.076,0.076
8.6,0.61,28.01,1,1.077,0.076
8.6,0.61,28.19,1,1.063,0.075
8.6,0.61,28.07,1,1.072,0.076
8.58,0.61,28.04,1,1.072,0.076
