F_Lift,F_Drag,Windspeed,Angle,Cl,Cd
1.62,0.14,15.91,0,0.629,0.054
1.62,0.14,15.91,0,0.629,0.054
1.62,0.14,15.85,0,0.634,0.055
1.61,0.14,15.8,0,0.634,0.055
1.62,0.14,15.85,0,0.634,0.055
1.63,0.14,15.85,0,0.638,0.055
1.63,0.14,15.91,0,0.633,0.054
1.62,0.14,15.91,0,0.629,0.054
1.63,0.14,15.8,0,0.642,0.055
1.63,0.14,15.8,0,0.642,0.055
1.63,0.14,15.74,0,0.646,0.056
1.63,0.14,15.8,0,0.642,0.055
1.63,0.14,15.96,0,0.629,0.054
1.62,0.14,16.01,0,0.621,0.054
1.62,0.14,15.96,0,0.625,0.054
1.62,0.14,16.06,0,0.617,0.053
1.66,0.19,16.01,0,0.636,0.073
1.64,0.19,16.01,0,0.629,0.073
1.64,0.17,15.96,0,0.633,0.066
1.64,0.16,15.96,0,0.633,0.062
1.91,0.18,14.07,0,0.956,0.09
1.91,0.18,14.07,0,0.956,0.09
1.91,0.18,14.07,0,0.956,0.09
1.91,0.18,14.07,0,0.956,0.09
1.91,0.18,14.13,0,0.948,0.089
1.91,0.18,14.19,0,0.94,0.089
1.91,0.18,14.13,0,0.948,0.089
1.91,0.18,14.13,0,0.948,0.089
1.91,0.19,14.19,0,0.94,0.094
1.91,0.18,14.19,0,0.94,0.089
1.91,0.18,14.13,0,0.948,0.089
1.91,0.19,14.13,0,0.948,0.094
1.91,0.18,14.13,0,0.948,0.089
1.91,0.18,14.13,0,0.948,0.089
1.91,0.19,14.13,0,0.948,0.094
1.91,0.18,14.19,0,0.94,0.089
1.91,0.19,14.13,0,0.948,0.094
1.92,0.19,14.13,0,0.953,0.094
1.92,0.18,14.19,0,0.945,0.089
1.92,0.18,14.19,0,0.945,0.089
1.85,0.17,15.91,1,0.718,0.066
1.84,0.17,15.85,1,0.72,0.066
1.84,0.16,15.96,1,0.71,0.062
1.83,0.16,15.96,1,0.706,0.062
1.83,0.16,15.91,1,0.71,0.062
1.82,0.16,15.96,1,0.702,0.062
1.82,0.16,15.96,1,0.702,0.062
1.82,0.15,15.85,1,0.712,0.059
1.82,0.16,15.91,1,0.706,0.062
1.82,0.16,15.91,1,0.706,0.062
1.82,0.16,15.85,1,0.712,0.063
1.83,0.16,15.96,1,0.706,0.062
1.83,0.16,15.96,1,0.706,0.062
1.84,0.16,15.96,1,0.71,0.062
1.84,0.16,15.96,1,0.71,0.062
1.84,0.16,16.01,1,0.705,0.061
1.84,0.16,15.96,1,0.71,0.062
1.84,0.16,15.96,1,0.71,0.062
1.84,0.16,15.96,1,0.71,0.062
1.83,0.15,16.01,1,0.701,0.057
2.02,0.2,14.25,1,0.986,0.098
2.02,0.2,14.13,1,1.003,0.099
2.02,0.2,14.07,1,1.011,0.1
2.02,0.2,14.07,1,1.011,0.1
2.02,0.2,14.13,1,1.003,0.099
2.02,0.2,14.19,1,0.994,0.098
2.02,0.2,14.25,1,0.986,0.098
2.03,0.2,14.31,1,0.982,0.097
2.03,0.2,14.25,1,0.991,0.098
2.02,0.2,14.25,1,0.986,0.098
2.02,0.2,14.25,1,0.986,0.098
2.02,0.2,14.25,1,0.986,0.098
