Angle,Wind_Speed,Lift_Calculated,Drag_Calculated,Lift_Data,Drag_Data
0.0,27.81,-0.8451930951855007,0.18300241852308288,5.39,0.44
0.0,27.63,-0.8342874920469857,0.1806411217245529,5.39,0.44
0.0,27.69,-0.8379148246926248,0.18142651698005244,5.39,0.44
0.0,27.81,-0.8451930951855007,0.18300241852308288,5.39,0.44
0.0,27.87,-0.8488440330327381,0.18379292481061385,5.38,0.44
0.0,27.9,-0.8506724526065564,0.18418881683338323,5.38,0.44
0.0,27.84,-0.8470175805590527,0.18339745870718036,5.39,0.43
0.0,27.81,-0.8451930951855007,0.18300241852308288,5.39,0.43
0.0,27.81,-0.8451930951855007,0.18300241852308288,5.4,0.44
0.0,27.75,-0.8415500257387962,0.18221361591289573,5.4,0.43
0.0,27.75,-0.8415500257387962,0.18221361591289573,5.4,0.43
0.0,27.87,-0.8488440330327381,0.18379292481061385,5.4,0.43
0.0,27.9,-0.8506724526065564,0.18418881683338323,5.41,0.43
0.0,27.84,-0.8470175805590527,0.18339745870718036,5.41,0.43
0.0,27.78,-0.843370576912082,0.18260780425832135,5.41,0.43
0.0,27.81,-0.8451930951855007,0.18300241852308288,5.41,0.43
0.0,27.9,-0.8506724526065564,0.18418881683338323,5.41,0.43
0.0,27.9,-0.8506724526065564,0.18418881683338323,5.41,0.43
0.0,27.9,-0.8506724526065564,0.18418881683338323,5.41,0.43
0.0,27.84,-0.8470175805590527,0.18339745870718036,5.41,0.44
0.0,28.16,-0.8666011552185632,0.18763772231845752,7.95,0.57
0.0,28.28,-0.8740026973197871,0.1892403148065411,7.93,0.56
0.0,28.31,-0.875858000595426,0.18964202772690184,7.9,0.56
0.0,28.13,-0.8647556874435901,0.18723813899477648,7.9,0.56
0.0,28.1,-0.8629121867687507,0.18683898159043147,7.89,0.56
0.0,28.19,-0.8684485900936694,0.18803773156147446,7.89,0.56
0.0,28.31,-0.875858000595426,0.18964202772690184,7.86,0.56
0.0,28.22,-0.8702979920689086,0.18843816672382738,7.86,0.56
0.0,28.28,-0.8740026973197871,0.1892403148065411,7.86,0.56
0.0,28.31,-0.875858000595426,0.18964202772690184,7.83,0.56
0.0,28.22,-0.8702979920689086,0.18843816672382738,7.81,0.56
0.0,28.07,-0.8610706531940439,0.1864402501054223,7.81,0.55
0.0,28.13,-0.8647556874435901,0.18723813899477648,7.8,0.55
