Angle,Wind_Speed,Lift_Calculated,Drag_Calculated,Lift_Data,Drag_Data
0.0,15.91,-0.06329784392954671,0.0598956401463012,1.62,0.14
0.0,15.91,-0.06329784392954671,0.0598956401463012,1.62,0.14
0.0,15.85,-0.06282132484141645,0.059444733542637705,1.62,0.14
0.0,15.8,-0.06242560094502365,0.059070279459778,1.61,0.14
0.0,15.85,-0.06282132484141645,0.059444733542637705,1.62,0.14
0.0,15.85,-0.06282132484141645,0.059444733542637705,1.63,0.14
0.0,15.91,-0.06329784392954671,0.0598956401463012,1.63,0.14
0.0,15.91,-0.06329784392954671,0.0598956401463012,1.62,0.14
0.0,15.8,-0.06242560094502365,0.059070279459778,1.63,0.14
0.0,15.8,-0.06242560094502365,0.059070279459778,1.63,0.14
0.0,15.74,-0.06195238268181117,0.058622496264578175,1.63,0.14
0.0,15.8,-0.06242560094502365,0.059070279459778,1.63,0.14
0.0,15.96,-0.063696318513371,0.0602726970695473,1.63,0.14
0.0,16.01,-0.06409604340966414,0.06065093710205994,1.62,0.14
0.0,15.96,-0.063696318513371,0.0602726970695473,1.62,0.14
0.0,16.06,-0.06449701861842613,0.06103036024383911,1.62,0.14
0.0,16.01,-0.06409604340966414,0.06065093710205994,1.66,0.19
0.0,16.01,-0.06409604340966414,0.06065093710205994,1.64,0.19
0.0,15.96,-0.063696318513371,0.0602726970695473,1.64,0.17
0.0,15.96,-0.063696318513371,0.0602726970695473,1.64,0.16
0.0,14.07,-0.04950359657315138,0.04684282152790821,1.91,0.18
0.0,14.07,-0.04950359657315138,0.04684282152790821,1.91,0.18
0.0,14.07,-0.04950359657315138,0.04684282152790821,1.91,0.18
0.0,14.07,-0.04950359657315138,0.04684282152790821,1.91,0.18
0.0,14.13,-0.049926702312612134,0.04724318570370514,1.91,0.18
0.0,14.19,-0.050351608502028015,0.047645253556845873,1.91,0.18
0.0,14.13,-0.049926702312612134,0.04724318570370514,1.91,0.18
0.0,14.13,-0.049926702312612134,0.04724318570370514,1.91,0.18
0.0,14.19,-0.050351608502028015,0.047645253556845873,1.91,0.19
0.0,14.19,-0.050351608502028015,0.047645253556845873,1.91,0.18
0.0,14.13,-0.049926702312612134,0.04724318570370514,1.91,0.18
0.0,14.13,-0.049926702312612134,0.04724318570370514,1.91,0.19
0.0,14.13,-0.049926702312612134,0.04724318570370514,1.91,0.18
0.0,14.13,-0.049926702312612134,0.04724318570370514,1.91,0.18
0.0,14.13,-0.049926702312612134,0.04724318570370514,1.91,0.19
0.0,14.19,-0.050351608502028015,0.047645253556845873,1.91,0.18
0.0,14.13,-0.049926702312612134,0.04724318570370514,1.91,0.19
0.0,14.13,-0.049926702312612134,0.04724318570370514,1.92,0.19
0.0,14.19,-0.050351608502028015,0.047645253556845873,1.92,0.18
0.0,14.19,-0.050351608502028015,0.047645253556845873,1.92,0.18
1.0,15.91,0.549546477655516,0.020056857884073388,1.85,0.17
1.0,15.85,0.5454093796098215,0.019905865764336814,1.84,0.17
1.0,15.96,0.553005999976997,0.020183120448515147,1.84,0.16
1.0,15.96,0.553005999976997,0.020183120448515147,1.83,0.16
1.0,15.91,0.549546477655516,0.020056857884073388,1.83,0.16
1.0,15.96,0.553005999976997,0.020183120448515147,1.82,0.16
1.0,15.96,0.553005999976997,0.020183120448515147,1.82,0.16
1.0,15.85,0.5454093796098215,0.019905865764336814,1.82,0.15
1.0,15.91,0.549546477655516,0.020056857884073388,1.82,0.16
1.0,15.91,0.549546477655516,0.020056857884073388,1.82,0.16
1.0,15.85,0.5454093796098215,0.019905865764336814,1.82,0.16
1.0,15.96,0.553005999976997,0.020183120448515147,1.83,0.16
1.0,15.96,0.553005999976997,0.020183120448515147,1.83,0.16
1.0,15.96,0.553005999976997,0.020183120448515147,1.84,0.16
1.0,15.96,0.553005999976997,0.020183120448515147,1.84,0.16
1.0,16.01,0.5564763774046012,0.02030977919295202,1.84,0.16
1.0,15.96,0.553005999976997,0.020183120448515147,1.84,0.16
1.0,15.96,0.553005999976997,0.020183120448515147,1.84,0.16
1.0,15.96,0.553005999976997,0.020183120448515147,1.84,0.16
1.0,16.01,0.5564763774046012,0.02030977919295202,1.83,0.15
1.0,14.25,0.4408529974306417,0.01608986005143108,2.02,0.2
1.0,14.13,0.4334593675479712,0.01582001393316132,2.02,0.2
1.0,14.07,0.42978599963586206,0.015685946622815874,2.02,0.2
1.0,14.07,0.42978599963586206,0.015685946622815874,2.02,0.2
1.0,14.13,0.4334593675479712,0.01582001393316132,2.02,0.2
1.0,14.19,0.43714836681289765,0.015954651742699718,2.02,0.2
1.0,14.25,0.4408529974306417,0.01608986005143108,2.02,0.2
1.0,14.31,0.44457325940120324,0.016225638859355403,2.03,0.2
1.0,14.25,0.4408529974306417,0.01608986005143108,2.03,0.2
1.0,14.25,0.4408529974306417,0.01608986005143108,2.02,0.2
1.0,14.25,0.4408529974306417,0.01608986005143108,2.02,0.2
1.0,14.25,0.4408529974306417,0.01608986005143108,2.02,0.2
1.0,14.19,0.43714836681289765,0.015954651742699718,2.03,0.2
1.0,14.13,0.4334593675479712,0.01582001393316132,2.03,0.2
1.0,14.19,0.43714836681289765,0.015954651742699718,2.03,0.2
1.0,14.25,0.4408529974306417,0.01608986005143108,2.03,0.2
1.0,14.19,0.43714836681289765,0.015954651742699718,2.03,0.2
1.0,14.19,0.43714836681289765,0.015954651742699718,2.03,0.2
1.0,14.19,0.43714836681289765,0.015954651742699718,2.03,0.2
1.0,14.13,0.4334593675479712,0.01582001393316132,2.02,0.2
2.0,15.96,0.8835128606208706,-0.0068242937741507005,2.08,0.17
2.0,15.85,0.8713760812876751,-0.006730548735076154,2.08,0.17
2.0,15.85,0.8713760812876751,-0.006730548735076154,2.08,0.17
2.0,15.91,0.8779857371126979,-0.006781602019195057,2.08,0.17
